"S.NO.","English","Spanish"
1,"SeeYouAll","SeeYouAll"
2,"Events","Eventos"
3,"Hello world!","¡Hola!"
4,"Settings","Configuración"
5,"Register","Registrarse"
6,"com.seeyouall","com.seeyouall"
7,"No result found","No se han encontrado resultados"
8,"Update","Actualizar"
9,"Network not available, Please try after some time.","La red no está disponible. Prueba más tarde."
10,"Authenticating user ...","Autenticando usuario..."
11,"Registering...","Registrando..."
12,"Continue","Continuar"
13,"OK","Continuar"
14,"By clicking on OK, you agree to the \n <a href=""http://www.seeyouall.com/#!legalnotice/c10ft"">Terms of Use</a> and you acknowledge you have read the \n <a href=""http://www.seeyouall.com/#!privacy-police/czp6"">Privacy Policy</a>.","Al hacer clic en Continuar, aceptas los \n términos de uso y confirmas haber leído la \n política de privacidad."
15,"Verify your phone number and check if you already have invites from your friends.","Verifica tu número de teléfono para ver si tus amigos ya te han invitado a algún plan"
16,"We\'ll send you a sms with your verification code.","Recibirás un sms con un código."
17,"phone number","número de teléfono"
18,"^[\\s\\S]*?Sent from your Twilio trial account - Ahoy from See You All!. Enter Confirmation Token: \\d{6} to verify your account. This is a 1-time message.[\\s\\S]*$","^[\\s\\S]*?Enviado desde tu cuenta de prueba de Twilio &#8211; ¡Saludos de See You All!. Introducir token de confirmación: \\d{6} para verificar la cuenta. Este es un mensaje único.[\\s\\S]*$"
19,"Contacts","Contactos"
20,"Groups","Grupos"
21,"Contacts","Contactos"
22,"CONTACTS","CONTACTOS"
23,"GROUPS","GRUPOS"
24,"Refresh","Actualizar"
25,"Add Contact","Añadir contacto"
26,"Add Group","Añadir grupo"
27,"Create Group","Crear grupo"
28,"Edit Group","Editar grupo"
29,"Would you like to continue with your Facebook profile?","¿Quieres continuar con tu perfil de Facebook?"
30,"No, Thanks Continue","No, gracias. Continuar"
31,"Connect with Facebook","Conectar con Facebook"
32,"Share your events with friends","Comparte tus eventos con tus amigos"
33,"Customize your experience","Personaliza tu experiencia"
34,"SeeYouAll will never post on Facebook without your permission.","SeeYouAll nunca publicará  en Facebook sin tu permiso."
35,"Search","Buscar"
36,"New Event","Evento nuevo"
37,"Profile","Perfil"
38,"Contacts","Contactos"
